"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.142241708E1,-8.849331178E-3,-1.520900615E-2,2.695671981E-3
2.152214708E1,-2.494337969E-2,-2.125580981E-2,1.478836406E-2
2.162187792E1,-2.578222658E-3,-1.477519330E-2,-3.312163521E-3
2.172160892E1,1.128613297E-2,-1.537916437E-2,-3.865014995E-3
2.182133892E1,-6.799720228E-3,-1.384887751E-2,-1.013487391E-2
2.192106992E1,-8.033665828E-3,-1.361853164E-2,-1.256661769E-2
2.202079992E1,-1.728196442E-2,8.459305391E-3,-3.265193105E-2
2.212053092E1,-5.315090716E-2,-2.302993648E-2,1.753296936E-3
2.222026192E1,-4.378230497E-2,-3.543558717E-2,1.575413533E-2
2.231999192E1,1.430798974E-2,-5.221903324E-2,2.891271561E-2
2.241972292E1,-1.084455522E-3,-5.150817707E-2,2.933845669E-2
2.251945392E1,-6.262196600E-2,-4.988441989E-2,2.502188832E-2
2.261918392E1,-9.413754940E-2,-3.520827368E-2,6.106254179E-3
2.271891492E1,-4.513224587E-2,-4.784413800E-2,1.552161481E-2
2.281864592E1,1.545108855E-2,-5.347905681E-2,2.005912550E-2
2.291837592E1,1.088064536E-2,-5.026873201E-2,1.868834905E-2
2.301810692E1,-3.001458012E-2,-5.833202600E-2,2.809687145E-2
2.311783792E1,-3.193360195E-2,-3.768373281E-2,9.275118820E-3
2.321756792E1,-8.694377728E-3,-1.864586584E-2,-1.050751191E-2
2.331729892E1,-9.837149642E-3,-5.591540597E-3,-2.816943638E-2
2.341702992E1,-2.272663265E-2,-2.376629226E-2,-3.920163028E-3
2.351675992E1,-5.209352449E-2,-2.389517985E-2,-5.351469154E-4
2.361649171E1,-2.158037573E-2,-2.701552026E-2,5.377922207E-3
2.371622271E1,-3.513165563E-2,-2.251239680E-2,-5.427135620E-4
2.381595271E1,-4.383368045E-2,-1.789640076E-2,-8.171356283E-3
2.391568371E1,-3.513278812E-2,9.314590134E-3,-2.061637864E-2
2.401541471E1,3.314921632E-2,-5.262461957E-3,2.143801190E-2
2.411514471E1,6.383156031E-2,1.242553117E-5,2.504684217E-2
2.421487571E1,5.745455623E-2,5.110017955E-3,2.583630150E-3
2.431460671E1,-7.185449451E-2,-1.626817696E-2,3.220426291E-2
2.441433671E1,-9.973724186E-2,-1.351267751E-2,2.895757556E-2
2.451406771E1,-8.224368095E-2,-7.578657940E-3,1.992331259E-2
2.461379792E1,-2.895894460E-2,-1.489219535E-2,2.495457791E-2
2.471352892E1,9.822057560E-3,-1.398085151E-2,2.031823155E-3
2.481325892E1,-1.091297716E-2,-1.989874430E-2,-5.746649113E-3
2.491298992E1,-2.395244874E-2,-1.036011800E-2,-1.375371870E-2
2.501272092E1,-8.403285407E-3,-5.920795258E-3,-9.642143734E-3
2.511245092E1,-5.604717880E-4,-9.567275643E-3,-2.628620015E-3
2.521218192E1,-1.468135044E-2,-2.391212806E-2,1.142008789E-2
2.531191292E1,-1.211370341E-2,-2.277010120E-2,-3.696646309E-3
2.541164392E1,-8.010296151E-3,-2.823548391E-2,-5.779662635E-3
2.551137392E1,-1.646647602E-2,-2.180179209E-2,-7.998193614E-3
2.561110483E1,-3.138950095E-2,-1.849521138E-2,-1.199133787E-2
2.571083583E1,-3.821044043E-2,-9.354986250E-3,-2.836139500E-2
2.581056583E1,-6.513580214E-3,-1.626333594E-2,-2.092324384E-2
2.591029683E1,2.917651460E-2,-1.181324013E-2,-2.484250814E-2
2.601002783E1,1.260868646E-2,-3.553529270E-3,-3.248089179E-2
2.610975883E1,-3.585723415E-2,-7.963934913E-3,-1.365578081E-2
2.620948983E1,-4.649589211E-2,-1.106959302E-2,-2.390556037E-2
2.630921983E1,-3.879306838E-2,-2.775218524E-2,-1.399168745E-2
2.640895083E1,-3.740634397E-2,-3.033607639E-2,-2.330347709E-2
2.650868183E1,-2.260913141E-3,-3.569920734E-2,-2.468648367E-2
2.660841321E1,4.466994479E-2,-4.666688293E-2,-1.821712404E-2
2.670814321E1,4.724052176E-2,-5.400169641E-2,-1.499506552E-2
2.680787421E1,-1.158958301E-3,-3.975729272E-2,-4.245800525E-2
2.690760521E1,-6.748083048E-3,-5.442065001E-2,-2.767146379E-2
2.700733621E1,2.037414163E-2,-6.321364641E-2,-1.664732769E-2
2.710706621E1,3.520597517E-2,-5.618473515E-2,-3.432817385E-2
2.720679721E1,4.996745288E-2,-6.204052642E-2,-3.047445975E-2
2.730652821E1,4.236826673E-2,-5.851895362E-2,-4.346798733E-2
2.740625921E1,5.248023197E-3,-6.338060647E-2,-2.880278416E-2
2.750599021E1,-4.014315084E-2,-5.781970546E-2,-3.265360743E-2
2.760571996E1,-2.238391340E-2,-5.070428550E-2,-3.973722085E-2
2.770545096E1,-3.243984282E-2,-5.043375120E-2,-4.817613214E-2
2.780518196E1,-1.914208755E-2,-6.296207011E-2,-3.389453888E-2
2.790491296E1,-1.310895942E-2,-4.904121906E-2,-4.045378417E-2
2.800464396E1,-1.509783044E-2,-3.966011852E-2,-4.987532273E-2
2.810437496E1,-2.215917036E-2,-3.933404386E-2,-4.781198874E-2
2.820410496E1,-1.132862736E-2,-5.243786052E-2,-4.018070176E-2
2.830383596E1,-3.854424879E-2,-3.343283758E-2,-5.303902179E-2
2.840356696E1,-2.356136777E-2,-3.393773362E-2,-5.079875141E-2
2.850329796E1,8.895119652E-3,-3.702998161E-2,-4.991180822E-2
2.860302958E1,4.772689939E-2,-3.329148889E-2,-4.354608059E-2
2.870276058E1,5.608394742E-2,-1.875408366E-2,-3.193722665E-2
2.880249058E1,3.604509309E-2,-1.484108251E-2,-1.810076274E-2
2.890222158E1,8.349396288E-3,-2.579651540E-3,-2.233160660E-2
2.900195258E1,-1.050025225E-3,-2.089591464E-3,-6.834121421E-3
2.910168358E1,2.380946651E-2,-3.578840755E-3,8.030973375E-3
2.920141458E1,2.274164185E-2,-8.674779907E-3,7.922590710E-3
2.930114558E1,3.599961475E-2,-5.503012799E-3,4.034615587E-3
2.940087658E1,-1.262299716E-2,-3.860289976E-2,6.328503042E-2
2.950060658E1,4.936857149E-2,2.639556117E-2,-3.105318360E-2
2.960033767E1,7.253988087E-2,1.767502911E-2,-1.154486742E-2
2.970006867E1,1.668852009E-2,2.224995755E-2,-6.149090361E-3
2.979979967E1,3.016415611E-2,-2.892954834E-2,3.402552009E-2
2.989953067E1,-2.391838003E-3,-2.801996283E-2,3.998359665E-2
2.999926167E1,-4.912603647E-2,-2.742399694E-3,-3.084821627E-3
3.009899267E1,-3.377392516E-2,1.270527579E-2,-3.034719825E-2
3.019872367E1,2.965303836E-3,1.127295010E-2,-1.432219427E-2
3.029845467E1,1.241666917E-2,-1.207961328E-2,1.135967579E-2
3.039818467E1,1.519307401E-2,-9.947780520E-3,8.355499245E-3
3.049791567E1,1.133329421E-2,7.959844079E-4,3.345843870E-3
3.059764604E1,2.788870130E-3,6.159540266E-3,-8.597271517E-3
3.069737704E1,1.413695887E-2,9.049137123E-3,-5.381605588E-3
3.079710804E1,9.550973773E-3,7.688373793E-3,-4.051163327E-3
3.089683904E1,2.444789745E-2,1.647525816E-3,-1.963511109E-3
3.099657004E1,-9.046197869E-3,2.543403534E-3,5.057775415E-3
3.109630104E1,8.304939838E-4,7.204535417E-3,-5.237308331E-3
3.119603204E1,1.436653361E-2,6.221611053E-3,-7.650509011E-3
3.129576304E1,1.016607624E-3,7.121120580E-3,-1.986148069E-3
3.139549404E1,1.821640879E-2,1.036970224E-2,-7.885023020E-3
3.149522504E1,9.880551137E-3,3.568275366E-3,3.933562431E-3
3.159495667E1,1.704215887E-3,4.752868321E-3,3.417080734E-5
3.169468767E1,7.145052776E-3,1.005523279E-2,-5.443266127E-3
3.179441767E1,1.826282963E-2,8.017461747E-3,-5.611544009E-3
3.189414867E1,9.757922031E-3,1.358168083E-4,2.801373135E-3
3.199387967E1,8.795803413E-3,-1.355701359E-3,6.733050104E-3
3.209361067E1,8.864923380E-3,-7.561322302E-3,1.519208588E-2
3.219334167E1,8.993931115E-3,-8.132151561E-5,4.847042728E-3
3.229307267E1,1.425914583E-3,6.262358744E-3,-1.457845792E-3
3.239280367E1,2.152568428E-3,6.036070175E-3,-4.680236802E-3
3.249253467E1,-3.740339307E-4,5.232101306E-3,-4.109237809E-3
3.259226517E1,2.626666683E-4,-1.418038970E-3,4.987339024E-3
3.269199617E1,2.617751597E-4,6.551630213E-4,4.651350901E-3
3.279172717E1,3.468876239E-3,1.108353026E-3,5.346667953E-3
3.289145817E1,-6.172160502E-4,1.989366952E-3,-1.914423658E-3
3.299118917E1,1.141178538E-3,7.717696717E-4,2.595549449E-5
3.309092017E1,1.727855881E-3,1.308864681E-3,1.705010887E-3
3.319065117E1,-1.800450147E-3,-9.273991454E-4,3.431550576E-4
3.329038217E1,3.619352821E-3,2.345463727E-3,3.147881362E-4
3.339011317E1,-1.410585362E-3,6.442326703E-4,1.162867527E-3
3.348984417E1,9.538683807E-4,1.836779644E-3,1.243535662E-3
3.358957504E1,4.482825752E-4,-7.947793929E-4,-5.102534778E-4
3.368930604E1,1.494749449E-2,1.760495594E-3,-1.054513268E-5
3.378903704E1,9.456988424E-3,1.976613188E-3,-3.040614072E-3
3.388876804E1,3.635758301E-3,-1.122051850E-3,-5.350820720E-5
