"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.102349408E1,-1.307135192E-1,1.518790877E-1,-2.253183621E-1
2.112322508E1,-3.197776825E-1,8.526000559E-2,-1.005528134E-1
2.122295608E1,4.217223890E-2,1.897772312E-1,3.130189955E-1
2.132268608E1,1.319599628E-2,1.692318696E-1,4.064417142E-1
2.142241708E1,2.344472545E-1,-1.045213187E-1,3.800579077E-1
2.152214708E1,1.476426338E-1,-2.734228206E-1,5.222616076E-2
2.162187792E1,3.399539021E-1,-1.161952847E-1,5.125710171E-1
2.172160892E1,2.932000773E-1,-2.838466519E-1,3.126465279E-1
2.182133892E1,2.537905747E-1,-1.523193830E-1,1.254794937E-1
2.192106992E1,2.167824505E-1,-2.026487070E-1,-4.089542627E-3
2.202079992E1,5.315677072E-1,-5.018466389E-1,-5.303430444E-1
2.212053092E1,4.039355610E-1,-3.906834680E-1,-9.156798184E-2
2.222026192E1,3.727218448E-1,-5.855091852E-1,1.800182283E-2
2.231999192E1,4.030058172E-1,-4.220719063E-1,4.346147686E-1
2.241972292E1,-6.743774710E-2,-4.863550258E-1,4.443363494E-1
2.251945392E1,3.807902715E-1,-9.061716610E-1,3.298051822E-1
2.261918392E1,1.891290308E-1,-7.664945430E-1,5.255342942E-1
2.271891492E1,1.232255200E-1,-1.122833805E0,3.191761136E-1
2.281864592E1,2.253474337E-1,-1.028873143E0,3.361646140E-1
2.291837592E1,-1.676073760E-2,-7.499206102E-1,4.189021307E-1
2.301810692E1,-3.771511654E-2,-5.009853441E-1,2.116136581E-1
2.311783792E1,1.523280077E-1,3.442957520E-2,2.077743763E-1
2.321756792E1,1.400986292E-1,-2.422413737E-1,3.978416294E-1
2.331729892E1,-1.094072886E-1,-1.801164615E-1,-3.805859113E-1
2.341702992E1,-8.657350950E-4,9.118089616E-2,-8.037611872E-1
2.351675992E1,4.109467015E-2,3.025466323E-2,-8.990193468E-1
2.361649171E1,-4.003081311E-1,8.255683780E-2,-7.648982531E-1
2.371622271E1,-8.778351769E-2,2.103547525E-1,-7.391371751E-1
2.381595271E1,1.776503252E-1,1.816390765E-1,-9.019680977E-1
2.391568371E1,-1.417474161E-1,-1.179704994E-1,-1.423219306E0
2.401541471E1,-6.442326258E-1,9.720422995E-1,4.181273746E-1
2.411514471E1,-3.391984418E-1,5.999693495E-1,-2.696385026E-1
2.421487571E1,-6.000613701E-1,4.053360057E-1,8.363915741E-1
2.431460671E1,-6.867462690E-1,1.986076963E-1,-8.035384083E-1
2.441433671E1,-3.208305467E-1,6.793704450E-2,-5.069804943E-1
2.451406771E1,-2.648647992E-2,-4.636216360E-1,-4.587228388E-1
2.461379792E1,-8.859522086E-2,-4.606231838E-1,-1.482824653E-1
2.471352892E1,2.962630316E-1,-3.280440009E-1,-5.793655157E-2
2.481325892E1,-1.113638766E-2,-4.181636274E-2,-1.536730134E-1
2.491298992E1,2.029618254E-1,3.798292816E-1,-8.303215796E-1
2.501272092E1,9.499971271E-2,4.404146218E-1,-4.123199201E-1
2.511245092E1,-1.238890876E-1,3.816273004E-1,-2.515975034E-1
2.521218192E1,-5.967851020E-2,1.253251272E-1,-8.931621909E-2
2.531191292E1,8.589665774E-2,2.927174628E-2,-2.631551099E-1
2.541164392E1,2.300199620E-2,-2.419577837E-1,6.925442219E-2
2.551137392E1,3.361182017E-1,-1.788119477E-1,1.832686955E-1
2.561110483E1,5.271873752E-1,-3.140451819E-1,3.858472359E-1
2.571083583E1,-1.603997965E-1,-3.145521355E-1,-7.167926252E-2
2.581056583E1,1.269292378E-1,-1.046283227E-1,-1.951847363E-1
2.591029683E1,3.031660717E-2,3.542886436E-2,-8.026355982E-1
2.601002783E1,-1.422246403E-1,2.092157149E-1,-4.330968314E-1
2.610975883E1,-1.875991434E-1,-1.852696127E-1,-1.468995988E-1
2.620948983E1,-3.018918538E-1,-2.298803598E-1,5.337513864E-2
2.630921983E1,-4.871420975E-1,-5.903840089E-1,-2.909252912E-1
