"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.131994920E2,4.547105900E1,-7.357807000E1,-6.700000000E0,2.474477778E1,2.124124756E2,1.000000000E1,1.900000000E1
1.142028630E2,4.547086600E1,-7.357823600E1,-6.400000000E0,2.474477778E1,2.106394501E2,1.000000000E1,1.900000000E1
1.151820459E2,4.547067300E1,-7.357840200E1,-6.400000000E0,2.500200000E1,2.105061646E2,1.000000000E1,1.900000000E1
1.161802950E2,4.547048100E1,-7.357856400E1,-6.400000000E0,2.474477778E1,2.105061646E2,1.000000000E1,1.900000000E1
1.172723379E2,4.547026600E1,-7.357874000E1,-6.200000000E0,2.500200000E1,2.107054749E2,1.000000000E1,1.900000000E1
1.182665280E2,4.547006700E1,-7.357889600E1,-6.200000000E0,2.500200000E1,2.107054749E2,1.000000000E1,1.900000000E1
1.192719550E2,4.546986500E1,-7.357904800E1,-6.000000000E0,2.525922222E1,2.093053284E2,1.000000000E1,1.900000000E1
1.202733749E2,4.546966000E1,-7.357919500E1,-6.300000000E0,2.556788889E1,2.050273895E2,1.000000000E1,1.900000000E1
1.212574250E2,4.546944900E1,-7.357933400E1,-5.400000000E0,2.582511111E1,2.036347656E2,1.000000000E1,1.900000000E1
1.222461510E2,4.546923000E1,-7.357946300E1,-6.100000000E0,2.582511111E1,2.024662628E2,1.000000000E1,1.900000000E1
1.232502099E2,4.546901200E1,-7.357958800E1,-6.400000000E0,2.613377778E1,2.006189728E2,1.000000000E1,1.900000000E1
1.242405430E2,4.546879100E1,-7.357970900E1,-5.600000000E0,2.613377778E1,2.004232178E2,1.000000000E1,1.900000000E1
1.252431259E2,4.546856900E1,-7.357983100E1,-4.500000000E0,2.639100000E1,2.011000000E2,1.000000000E1,1.900000000E1
1.262379349E2,4.546834800E1,-7.357995200E1,-4.100000000E0,2.613377778E1,2.012000000E2,1.000000000E1,1.900000000E1
1.272432380E2,4.546812400E1,-7.358007500E1,-2.700000000E0,2.664822222E1,2.011000000E2,1.000000000E1,1.900000000E1
1.282159309E2,4.546790100E1,-7.358019700E1,-3.800000000E0,2.639100000E1,2.012000000E2,1.000000000E1,1.900000000E1
1.292152059E2,4.546767600E1,-7.358032100E1,-3.700000000E0,2.664822222E1,2.006452179E2,1.000000000E1,1.900000000E1
1.302127550E2,4.546745300E1,-7.358045100E1,-2.500000000E0,2.664822222E1,2.020822449E2,1.000000000E1,1.900000000E1
1.312068110E2,4.546723300E1,-7.358059500E1,-2.000000000E0,2.695688889E1,2.056326447E2,5.000000000E0,9.500000000E0
1.321993070E2,4.546701800E1,-7.358075500E1,-1.500000000E0,2.695688889E1,2.090929108E2,5.000000000E0,9.500000000E0
1.332111540E2,4.546680800E1,-7.358093800E1,-1.600000000E0,2.752277778E1,2.127223053E2,1.000000000E1,1.900000000E1
1.341903659E2,4.546660600E1,-7.358113800E1,-2.100000000E0,2.721411111E1,2.170724487E2,1.000000000E1,1.900000000E1
1.351813480E2,4.546641200E1,-7.358135300E1,-2.600000000E0,2.721411111E1,2.184772034E2,1.000000000E1,1.900000000E1
1.361776040E2,4.546623400E1,-7.358157600E1,-2.300000000E0,2.639100000E1,2.204384003E2,3.000000000E1,5.700000000E1
1.371805199E2,4.546606500E1,-7.358181300E1,-1.500000000E0,2.639100000E1,2.242503662E2,3.000000000E1,5.700000000E1
1.382699850E2,4.546588900E1,-7.358209200E1,-1.300000000E0,2.664822222E1,2.318000946E2,3.000000000E1,5.700000000E1
1.392741339E2,4.546574200E1,-7.358236100E1,-1.400000000E0,2.664822222E1,2.337355042E2,3.000000000E1,5.700000000E1
1.402628980E2,4.546560800E1,-7.358264200E1,-1.000000000E0,2.664822222E1,2.373002625E2,3.000000000E1,5.700000000E1
1.412623169E2,4.546548600E1,-7.358293000E1,-8.000000000E-1,2.639100000E1,2.399000000E2,3.000000000E1,5.700000000E1
1.422513310E2,4.546538000E1,-7.358320800E1,-7.000000000E-1,2.474477778E1,2.425000000E2,3.000000000E1,5.700000000E1
1.432488780E2,4.546528900E1,-7.358347600E1,-4.000000000E-1,2.330433333E1,2.452000000E2,3.000000000E1,5.700000000E1
1.442402700E2,4.546521500E1,-7.358373100E1,-2.000000000E-1,2.165811111E1,2.486000000E2,3.000000000E1,5.700000000E1
1.452388430E2,4.546515300E1,-7.358398400E1,1.000000000E-1,2.109222222E1,2.522000000E2,3.000000000E1,5.700000000E1
1.462240790E2,4.546510100E1,-7.358423700E1,2.000000000E-1,2.026911111E1,2.558000000E2,3.000000000E1,5.700000000E1
1.472273450E2,4.546506100E1,-7.358449000E1,4.000000000E-1,2.026911111E1,2.584000000E2,3.000000000E1,5.700000000E1
1.482169130E2,4.546502900E1,-7.358474500E1,2.000000000E-1,2.001188889E1,2.603000000E2,3.000000000E1,5.700000000E1
1.492135019E2,4.546500100E1,-7.358500600E1,5.000000000E-1,2.052633333E1,2.620000000E2,3.000000000E1,5.700000000E1
1.502103710E2,4.546498000E1,-7.358526200E1,8.000000000E-1,2.001188889E1,2.645000000E2,3.000000000E1,5.700000000E1
1.512073059E2,4.546496800E1,-7.358552100E1,4.000000000E-1,2.026911111E1,2.682763977E2,3.000000000E1,5.700000000E1
1.522082939E2,4.546496300E1,-7.358577800E1,6.000000000E-1,2.001188889E1,2.689802551E2,3.000000000E1,5.700000000E1
1.532090009E2,4.546496400E1,-7.358603600E1,-2.000000000E-1,2.001188889E1,2.701573181E2,3.000000000E1,5.700000000E1
1.541977220E2,4.546496500E1,-7.358629400E1,-2.000000000E-1,2.001188889E1,2.701573181E2,3.000000000E1,5.700000000E1
1.552099769E2,4.546496500E1,-7.358655700E1,-1.000000000E-1,2.026911111E1,2.696672974E2,3.000000000E1,5.700000000E1
1.561809100E2,4.546496400E1,-7.358681700E1,-1.000000000E-1,2.026911111E1,2.696672974E2,3.000000000E1,5.700000000E1
1.571801560E2,4.546496200E1,-7.358708100E1,-5.000000000E-1,2.052633333E1,2.696672974E2,3.000000000E1,5.700000000E1
1.582666099E2,4.546496200E1,-7.358736800E1,0.000000000E0,2.026911111E1,2.693583984E2,3.000000000E1,5.700000000E1
1.592689970E2,4.546496200E1,-7.358762800E1,0.000000000E0,2.026911111E1,2.695201416E2,3.000000000E1,5.700000000E1
1.602641000E2,4.546496300E1,-7.358788800E1,-1.300000000E0,2.001188889E1,2.695201416E2,3.000000000E1,5.700000000E1
1.612615540E2,4.546496300E1,-7.358815200E1,-1.500000000E0,2.083500000E1,2.701337280E2,3.000000000E1,5.700000000E1
1.622521900E2,4.546496300E1,-7.358841800E1,-1.500000000E0,2.083500000E1,2.701337280E2,3.000000000E1,5.700000000E1
1.632540979E2,4.546496200E1,-7.358868800E1,-9.000000000E-1,2.083500000E1,2.698341980E2,3.000000000E1,5.700000000E1
1.642423899E2,4.546496100E1,-7.358895600E1,-5.000000000E-1,2.109222222E1,2.698341980E2,1.000000000E1,1.900000000E1
1.652335789E2,4.546496000E1,-7.358923200E1,-9.000000000E-1,2.109222222E1,2.698341980E2,1.000000000E1,1.900000000E1
1.662379709E2,4.546496000E1,-7.358950600E1,-1.400000000E0,2.140088889E1,2.701710510E2,1.000000000E1,1.900000000E1
1.672349150E2,4.546495900E1,-7.358977900E1,-8.000000000E-1,2.140088889E1,2.701710510E2,1.000000000E1,1.900000000E1
1.682178149E2,4.546496000E1,-7.359005600E1,-1.500000000E0,2.165811111E1,2.697760620E2,1.000000000E1,1.900000000E1
