"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.381147804E1,6.511459351E-2,7.622748413E0,5.787864075E0
3.391120904E1,1.586700439E-2,7.907755737E0,6.016887817E0
3.401094004E1,2.649490356E-2,8.039781189E0,5.956114197E0
3.411067104E1,2.679428101E-2,7.861202545E0,5.880222015E0
3.421040204E1,2.005828857E-2,7.835605774E0,5.786217499E0
3.431013304E1,2.679428101E-2,7.979606323E0,5.824837189E0
3.440986404E1,-1.646575928E-3,7.861651611E0,5.913901978E0
3.450959504E1,4.954696655E-2,7.831264801E0,5.853577423E0
3.460932671E1,7.604187012E-2,7.937094727E0,5.842350769E0
3.470905771E1,6.945556641E-2,7.867489471E0,5.890550537E0
3.480878871E1,6.256988525E-2,7.877219238E0,5.894741821E0
3.490851971E1,6.900650024E-2,7.927065582E0,5.882018280E0
3.500825071E1,2.275268555E-2,7.886799316E0,5.833219757E0
3.510798171E1,2.275268555E-2,7.880213013E0,5.862259369E0
3.520771271E1,-1.781295776E-2,7.930059357E0,5.848637695E0
3.530744371E1,1.796264648E-2,7.878865814E0,5.860163727E0
3.540717471E1,1.990859985E-2,7.884404297E0,5.870043182E0
3.550690571E1,6.062393188E-2,7.915090485E0,5.887107697E0
3.560663621E1,5.418731689E-2,7.851622467E0,5.862858124E0
3.570636721E1,8.771759033E-2,7.873477020E0,5.906567230E0
3.580609821E1,4.924758911E-2,7.910599823E0,5.877377930E0
3.590582921E1,4.909790039E-2,7.862849121E0,5.843099213E0
3.600556021E1,1.796264648E-2,7.897576904E0,5.859564972E0
3.610529121E1,2.350112915E-2,7.879913635E0,5.883515167E0
3.620502221E1,4.191284180E-2,7.878865814E0,5.848338318E0
3.630475321E1,-1.601669312E-2,7.893684998E0,5.873785400E0
3.640448421E1,3.757186890E-2,7.880662079E0,5.901777191E0
3.650421521E1,4.251159668E-2,7.887098694E0,5.855972443E0
3.660394629E1,3.308120728E-2,7.902217255E0,5.865552521E0
3.670367729E1,1.332229614E-2,7.888146515E0,5.871989136E0
3.680340829E1,3.338058472E-2,7.889643402E0,5.836512909E0
3.690313929E1,4.805007935E-2,7.903564453E0,5.873036957E0
3.700287029E1,4.475692749E-2,7.889942780E0,5.895490265E0
3.710260129E1,3.502716064E-2,7.891888733E0,5.864654388E0
3.720233229E1,2.080673218E-2,7.877069550E0,5.874084778E0
3.730206329E1,4.565505981E-2,7.882308655E0,5.865402832E0
3.740179429E1,5.418731689E-2,7.889793091E0,5.840404816E0
3.750152529E1,2.769241333E-2,7.903863831E0,5.879473572E0
3.760125667E1,3.382965088E-2,7.879913635E0,5.889652405E0
3.770098767E1,4.760101318E-2,7.869435425E0,5.851631470E0
3.780071867E1,4.041595459E-2,7.888445892E0,5.845793610E0
3.790044967E1,2.574645996E-2,7.888445892E0,5.873336334E0
3.800018067E1,2.544708252E-2,7.892038422E0,5.857768707E0
3.809991167E1,4.924758911E-2,7.889194336E0,5.877527618E0
3.819964267E1,5.343887329E-2,7.879464569E0,5.870342560E0
3.829937367E1,4.430786133E-2,7.880811768E0,5.860163727E0
