"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.754333665E2,1.231175232E1,7.163696289E-1,8.805114746E0
5.755330985E2,1.251287079E1,1.207237244E-1,8.894996643E0
5.756328315E2,1.239773560E1,5.628662109E-1,8.996292114E0
5.757325645E2,1.215983582E1,1.749458313E0,9.093688965E0
5.758322965E2,1.205087280E1,5.889320374E0,1.017031097E1
5.759320295E2,1.261692047E1,8.552783966E0,1.145837402E1
5.760317625E2,1.267350006E1,1.095970535E1,1.227797699E1
5.761314935E2,1.268655396E1,1.339903641E1,1.259747314E1
5.762312265E2,1.260916901E1,1.387626266E1,1.263006592E1
5.763309595E2,1.217617035E1,1.516213226E1,1.313725281E1
5.764306915E2,1.175614929E1,1.716224670E1,1.409244537E1
5.765304245E2,1.180484009E1,1.664640808E1,1.570742798E1
5.766301575E2,1.181246948E1,1.601473236E1,1.502225494E1
5.767298895E2,1.178553009E1,1.681568527E1,1.564257050E1
5.768296225E2,1.155958557E1,1.768827057E1,1.515515900E1
5.769293555E2,1.144641113E1,1.799108505E1,1.423356628E1
5.770290885E2,1.162514496E1,1.501896667E1,1.274630737E1
5.771288210E2,1.309786987E1,1.055494308E1,1.116384125E1
5.772285540E2,1.431502533E1,8.928092957E0,1.169439697E1
5.773282870E2,1.505950928E1,9.633903503E0,1.142725372E1
5.774280190E2,1.502173615E1,9.654777527E0,1.101421356E1
5.775277520E2,1.388814545E1,1.232410049E1,1.145497131E1
5.776274850E2,1.290065002E1,1.535174561E1,1.323625183E1
5.777272170E2,1.240023041E1,1.721400452E1,1.509786224E1
5.778269500E2,1.084193420E1,2.257688904E1,1.668659973E1
5.779266830E2,9.700706482E0,2.534059143E1,1.711794281E1
5.780264160E2,9.880821228E0,2.640623093E1,1.644992828E1
5.781261477E2,1.071812439E1,2.660309601E1,1.501722717E1
5.782258807E2,1.209299469E1,2.544631767E1,1.461714935E1
5.783256137E2,1.360861206E1,2.421309471E1,1.552671814E1
5.784253457E2,1.353051758E1,2.369916725E1,1.647030640E1
5.785250787E2,1.295906067E1,2.302823639E1,1.700961304E1
5.786248117E2,1.222895050E1,1.990489578E1,1.625106049E1
5.787245447E2,1.235855103E1,1.599123001E1,1.579332733E1
5.788242767E2,1.314787292E1,1.391478729E1,1.547904205E1
5.789240097E2,1.293692780E1,1.209735489E1,1.472090149E1
5.790237427E2,1.220510864E1,1.285988235E1,1.365335846E1
5.791234750E2,1.126026917E1,1.601879883E1,1.404109955E1
5.792232080E2,1.122367096E1,1.776041412E1,1.394401550E1
5.793229410E2,1.151531219E1,1.714907074E1,1.435727692E1
5.794226740E2,1.190345764E1,1.675210571E1,1.418515778E1
5.795224060E2,1.218685150E1,1.742514420E1,1.528984070E1
5.796221390E2,1.278264618E1,1.878806686E1,1.512631226E1
5.797218720E2,1.265808868E1,1.982674026E1,1.430875397E1
